Name,ID,tone,stress,syllabic,short,long,consonantal,sonorant,continuant,delayedRelease,approximant,tap,trill,nasal,lateral,labial,round,labiodental,coronal,anterior,distributed,strident,dorsal,high,low,front,back,tense,retractedTongueRoot,advancedTongueRoot,periodicGlottalSource,epilaryngealSource,spreadGlottis,constrictedGlottis,fortis,raisedLarynxEjective,loweredLarynxImplosive,click
Apinayé,apin1244,0,0,17,0,0,13,22,21,4,18,1,0,11,0,8,5,1,7,3,3,3,20,9,2,6,10,10,0,0,24,0,0,1,0,0,0,0
Apinayé,apin1244,0,0,35,0,17,13,40,40,5,36,1,0,18,0,13,10,1,7,3,3,3,38,15,4,11,20,20,0,0,42,0,1,1,0,0,0,0
Aproumu Aizi,apro1235,0,0,9,0,0,22,16,18,6,12,0,0,4,1,11,3,2,11,6,5,4,19,14,1,8,5,6,0,0,25,0,0,0,0,0,1,0
A-Pucikwar,apuc1241,0,0,8,0,0,13,16,12,2,12,0,0,4,1,7,4,0,8,4,4,2,14,8,2,6,4,4,0,0,20,0,0,0,0,0,0,0
A-Pucikwar,apuc1241,0,0,10,0,0,23,20,18,3,15,1,1,5,1,7,4,0,17,10,7,1,18,11,1,8,6,7,1,0,24,0,3,0,0,0,0,0
Apurinã,apur1254,0,0,26,0,10,11,32,32,5,29,1,0,13,0,10,8,0,8,5,3,4,30,16,6,15,9,24,0,0,32,0,1,0,0,0,0,0
Apurinã,apur1254,0,0,20,0,10,11,26,26,5,23,1,0,13,0,6,4,0,8,5,3,4,24,12,4,10,5,18,0,0,26,0,1,0,0,0,0,0
Arabana,arab1267,0,0,3,0,0,19,18,12,0,12,1,1,6,4,4,2,0,15,11,6,0,10,9,1,5,2,4,0,0,18,0,0,0,0,0,0,0
Arabela,arab1268,0,0,10,0,5,14,18,19,5,14,2,0,4,0,10,7,0,8,7,1,2,20,16,2,11,5,8,0,0,18,0,3,0,0,0,0,0
Arabela,arab1268,0,0,7,0,0,8,12,13,3,10,0,1,2,0,6,4,0,5,4,1,2,10,7,3,4,4,6,0,0,12,0,1,0,0,0,0,0
Aragonese,arag1245,0,0,5,0,0,19,15,16,6,12,0,1,3,2,7,3,1,13,8,8,3,13,10,1,6,3,6,0,0,18,0,0,0,0,0,0,0
Aragonese,arag1245,0,0,25,0,0,19,33,35,6,30,1,1,3,2,21,17,1,12,8,7,3,31,28,8,21,17,25,0,0,36,0,0,0,0,0,0,0
Arandai,aran1237,0,0,5,0,0,13,8,9,3,6,1,0,2,0,6,2,0,6,5,2,0,9,6,1,3,2,4,0,0,15,0,0,0,0,0,0,0
Araona,arao1248,0,0,4,0,0,16,10,11,7,7,0,0,3,1,6,3,0,11,7,4,6,9,6,1,4,2,5,0,0,14,0,1,0,0,0,0,0
Araweté,araw1273,0,0,9,0,0,9,14,13,2,12,1,0,6,0,5,3,0,5,4,1,1,12,7,1,5,3,10,0,0,15,0,1,1,0,0,0,0
